S.No,State,District ,Code ,Headquarters ,Population (2011) ,Area (km²) ,Density (/km²),
633,Arunachal Pradesh (AR),Tirap,TI,Khonsa,"1,11,997","2,362",47,
634,Meghalaya (ML),South West Khasi Hills,,Mawkyrwat,"1,10,152","1,341",,
635,Andaman and Nicobar (AN),North and Middle Andaman,NA,Mayabunder,"1,05,539","3,227",32,
636,Arunachal Pradesh (AR),East Siang,ES,Pasighat,"99,019","3,603",27,
637,Arunachal Pradesh (AR),Kurung Kumey,KK,Koloriang,"89,717","6,040",15,
638,Arunachal Pradesh (AR),West Kameng,WK,Bomdila,"87,013","7,422",12,
639,Mizoram (MZ),Mamit,MA,Mamit,"85,757","2,967",28,
640,Himachal Pradesh (HP),Kinnaur,KI,Reckong Peo,"84,298","6,401",13,
641,Arunachal Pradesh (AR),Upper Subansiri,UB,Daporijo,"83,205","7,032",12,
642,Mizoram (MZ),Kolasib,KO,Kolasib,"83,054","1,386",60,
643,Arunachal Pradesh (AR),Lower Subansiri,LB,Ziro,"82,839","3,508",24,
644,Arunachal Pradesh (AR),East Kameng,EK,Seppa,"78,413","4,134",19,
645,Mizoram (MZ),Kiphire,KI,Kiphire,"74,033","1,255",66,
646,Mizoram (MZ),Serchhip,SE,Serchhip,"64,875","1,424",46,
647,Lakshadweep (LD),Lakshadweep,LD,Kavaratti,"64,429",32,"2,013",
648,Mizoram (MZ),Saiha,SA,Saiha,"56,366","1,414",40,
649,Puducherry (PY),Yanam,YA,Yanam,"55,616",17,"3,272",
650,Arunachal Pradesh (AR),Lower Dibang Valley,DV,Anini,"53,986","3,900",14,
651,Daman and Diu (DD),Diu,DI,Diu,"52,056",40,"1,301",
652,Mizoram (MZ),Longleng,LO,Longleng,"50,593",885,89,
653,Arunachal Pradesh (AR),Tawang,TA,Tawang Town,"49,950","2,085",23,
654,Sikkim (SK),North Sikkim,NS,Mangan,"43,354","4,226",10,
655,Puducherry (PY),Mahe,MA,Mahé,"41,934",9,"4,659",
656,Andaman and Nicobar (AN),Nicobar,NI,Car Nicobar,"36,819","1,841",20,
657,Arunachal Pradesh (AR),Upper Siang,US,Yingkiong,"35,289","6,188",5,
658,Himachal Pradesh (HP),Lahaul and Spiti,LS,Keylong,"31,528","13,835",2,
659,Arunachal Pradesh (AR),Anjaw,AJ,Hawai,"21,089","6,190",3,
660,Arunachal Pradesh (AR),Dibang Valley,UD,Anini,"7,948","9,129",1,
661,Punjab (PB),Fazilka,FA,Fazilka,,-, —,
662,Uttar Pradesh (UP),Shamli,SH,Shamli,,, —,
663,Chhattisgarh (CG),Balrampur,,Balrampur,,3806.08,-,
664,Chhattisgarh (CG),Bemetara,,Bemetara,,-,-,
665,Maharashtra (MH),Palghar,-,Palghar,,-,-,
666,Arunachal Pradesh (AR),Longding,LD,Longding,,,,
667,Chhattisgarh (CG),Balod,,Balod,,,,
668,Chhattisgarh (CG),Baloda Bazar,,Baloda Bazar,,,,
669,Chhattisgarh (CG),Gariaband,,Gariaband,,,,
670,Chhattisgarh (CG),Kondagaon,,Kondagaon,,,,
671,Chhattisgarh (CG),Mungeli,,Mungeli,,,,
672,Delhi (DL),Shahdara,,Shahdara,,,,
673,Delhi (DL),South East Delhi,,Defence Colony,,,,
674,Madhya Pradesh (MP),Agar,AG,Agar,,,,
675,Meghalaya (ML),South West Garo Hills,,Ampati,,,,
676,Uttar Pradesh (UP),Amethi (Chhatrapati Shahuji Maharaj Nagar),CS,Gauriganj,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,"For more information, kindly visit :  www.downloadexcelfiles.com",,,,,,,
